trans_dt,A,B,O,AB,code_len,dow,day,month,year,week,ds,hol_dur,hol_lower,hol_upper,TOTAL
2013-03-11,36.5,51.0,43.5,12.0,198,0,11,3,2013,11,,,,,143.0
2013-03-12,37.0,66.5,54.5,18.5,210,1,12,3,2013,11,,,,,176.5
2013-03-13,11.0,53.0,48.0,26.5,180,2,13,3,2013,11,,,,,138.5
2013-03-14,25.0,40.5,63.5,16.0,234,3,14,3,2013,11,,,,,145.0
2013-03-15,21.5,30.0,59.0,10.0,198,4,15,3,2013,11,,,,,120.5
2013-03-16,27.5,8.0,38.5,15.5,162,5,16,3,2013,11,,,,,89.5
2013-03-17,37.0,14.5,20.5,7.0,144,6,17,3,2013,11,,,,,79.0
2013-03-18,33.0,47.5,54.0,17.0,214,0,18,3,2013,12,,,,,151.5
2013-03-19,54.5,48.0,63.0,8.5,196,1,19,3,2013,12,,,,,174.0
2013-03-20,62.0,42.5,78.5,4.0,186,2,20,3,2013,12,,,,,187.0
2013-03-21,59.0,48.5,30.5,13.5,184,3,21,3,2013,12,,,,,151.5
2013-03-22,39.0,40.0,37.5,4.0,204,4,22,3,2013,12,,,,,120.5
2013-03-23,43.0,40.0,42.5,2.0,180,5,23,3,2013,12,,,,,127.5
2013-03-24,38.0,38.0,20.0,0.0,132,6,24,3,2013,12,,,,,96.0
2013-03-25,53.5,48.0,47.5,8.0,228,0,25,3,2013,13,,,,,157.0
2013-03-26,64.5,62.0,56.5,26.0,208,1,26,3,2013,13,,,,,209.0
2013-03-27,59.0,70.0,42.0,7.0,214,2,27,3,2013,13,,,,,178.0
2013-03-28,36.5,56.5,34.5,13.0,174,3,28,3,2013,13,,,,,140.5
2013-03-29,51.5,76.5,49.5,14.0,204,4,29,3,2013,13,,,,,191.5
2013-03-30,23.0,36.5,28.5,2.0,180,5,30,3,2013,13,,,,,90.0
2013-03-31,26.0,21.0,11.0,6.0,120,6,31,3,2013,13,,,,,64.0
2013-04-01,43.0,53.0,37.5,13.0,186,0,1,4,2013,14,,,,,146.5
2013-04-02,75.0,53.5,54.5,13.0,210,1,2,4,2013,14,,,,,196.0
2013-04-03,46.5,42.0,76.5,35.0,252,2,3,4,2013,14,,,,,200.0
2013-04-04,21.0,23.0,28.0,12.0,132,3,4,4,2013,14,2013-04-04,3.0,-1.0,1.0,84.0
2013-04-05,12.5,29.0,36.0,5.5,142,4,5,4,2013,14,2013-04-05,3.0,-1.0,1.0,83.0
2013-04-06,26.0,15.0,19.0,6.5,124,5,6,4,2013,14,2013-04-06,3.0,-1.0,1.0,66.5
2013-04-07,47.0,49.0,68.0,12.0,208,6,7,4,2013,14,,,,,176.0
2013-04-08,46.5,58.5,41.5,15.0,196,0,8,4,2013,15,,,,,161.5
2013-04-09,58.5,34.5,41.0,19.5,196,1,9,4,2013,15,,,,,153.5
2013-04-10,30.5,55.0,51.5,21.0,156,2,10,4,2013,15,,,,,158.0
2013-04-11,61.0,39.0,57.5,11.0,198,3,11,4,2013,15,,,,,168.5
2013-04-12,53.0,82.0,48.0,19.5,264,4,12,4,2013,15,,,,,202.5
2013-04-13,22.0,24.0,35.5,12.0,186,5,13,4,2013,15,,,,,93.5
2013-04-14,15.5,32.0,29.0,2.0,138,6,14,4,2013,15,,,,,78.5
2013-04-15,49.0,59.0,70.5,13.5,246,0,15,4,2013,16,,,,,192.0
2013-04-16,46.5,84.5,69.0,11.0,192,1,16,4,2013,16,,,,,211.0
2013-04-17,34.0,70.0,49.0,43.5,224,2,17,4,2013,16,,,,,196.5
2013-04-18,47.0,37.5,57.0,5.0,196,3,18,4,2013,16,,,,,146.5
2013-04-19,55.5,53.0,41.0,13.0,190,4,19,4,2013,16,,,,,162.5
2013-04-20,24.0,39.0,39.5,14.5,186,5,20,4,2013,16,,,,,117.0
2013-04-21,23.0,17.0,31.0,14.0,126,6,21,4,2013,16,,,,,85.0
2013-04-22,49.0,53.0,33.0,24.5,216,0,22,4,2013,17,,,,,159.5
2013-04-23,32.0,102.5,60.0,9.0,240,1,23,4,2013,17,,,,,203.5
2013-04-24,52.0,43.0,53.0,21.0,196,2,24,4,2013,17,,,,,169.0
2013-04-25,46.5,43.0,42.0,13.5,228,3,25,4,2013,17,,,,,145.0
2013-04-26,38.0,39.0,43.0,7.0,172,4,26,4,2013,17,,,,,127.0
2013-04-27,36.0,71.5,47.0,9.0,200,5,27,4,2013,17,,,,,163.5
2013-04-28,63.0,38.0,39.5,10.0,168,6,28,4,2013,17,,,,,150.5
2013-04-29,19.0,28.5,26.0,2.0,114,0,29,4,2013,18,2013-04-29,3.0,-1.0,1.0,75.5
2013-04-30,10.0,30.0,21.0,7.0,104,1,30,4,2013,18,2013-04-30,3.0,-1.0,1.0,68.0
2013-05-01,17.0,20.0,30.5,10.0,150,2,1,5,2013,18,2013-05-01,3.0,-1.0,1.0,77.5
2013-05-02,13.0,32.5,36.0,14.0,166,3,2,5,2013,18,,,,,95.5
2013-05-03,29.0,28.0,57.5,21.0,186,4,3,5,2013,18,,,,,135.5
2013-05-04,27.0,14.0,26.5,14.0,124,5,4,5,2013,18,,,,,81.5
2013-05-05,21.0,25.0,33.5,4.0,96,6,5,5,2013,18,,,,,83.5
2013-05-06,23.5,32.5,35.0,16.0,150,0,6,5,2013,19,,,,,107.0
2013-05-07,40.5,49.5,55.0,21.0,184,1,7,5,2013,19,,,,,166.0
2013-05-08,47.5,67.0,64.5,11.5,210,2,8,5,2013,19,,,,,190.5
