,test-rmse-mean,test-rmse-std,test-rmsle-mean,test-rmsle-std,train-rmse-mean,train-rmse-std,train-rmsle-mean,train-rmsle-std
0,0.1789923,0.0005426380100951243,1.5164333000000003,0.0045968366960334435,0.1788423,9.785504585865604e-05,1.5151637,0.0008292105944812615
1,0.16543800000000003,0.0005450671518262665,1.4016023,0.004617885642802339,0.16506360000000003,0.0001047780511366768,1.3984280999999998,0.0008881160340856448
2,0.15356730000000002,0.0005266173278577141,1.3010303000000003,0.004460608053842001,0.15292699999999998,0.00010793053321465975,1.2956076,0.000914542093071715
3,0.1432371,0.0005267715728852483,1.2135124999999998,0.004462859761408606,0.1422827,0.00011300358401396187,1.2054270999999999,0.0009576995823325833
4,0.1342749,0.0005054935113332315,1.1375852000000002,0.004282610530972886,0.1329531,9.282828232817595e-05,1.1263878,0.0007861096361195303
5,0.1265515,0.0004898826900391546,1.0721513000000003,0.004149344479553388,0.1247968,7.269773036347032e-05,1.0572867000000001,0.0006176732226671268
6,0.11991129999999998,0.0004874361599225094,1.0158954000000002,0.004129554823464641,0.11774269999999998,0.0001123165615570584,0.9975219999999998,0.000952456298210049
7,0.11423520000000001,0.0004944768548678475,0.9678065,0.004187463152076691,0.1115836,0.00013318573497188077,0.9453419999999999,0.0011280486691628063
8,0.10941609999999999,0.0004928556482378979,0.9269793999999999,0.004177138283562096,0.10627790000000001,0.00015383331888768286,0.9003921,0.001304661983043876
9,0.1053561,0.00047502598876271955,0.8925839,0.0040246777622562555,0.10164959999999998,0.0001675190735408968,0.8611812999999999,0.0014194882211557886
10,0.10193970000000001,0.0004499102243781536,0.8636389,0.0038105972878277466,0.0976316,0.0001811116782540518,0.8271390999999999,0.0015328256554481235
11,0.09908149999999999,0.0004393955507284963,0.8394235,0.003723687131057054,0.0942038,0.00019758431111806347,0.7980982999999999,0.0016725474612099887
12,0.0967071,0.0004257319461821028,0.8193091000000001,0.003606491714949602,0.09124179999999998,0.00019880633792713988,0.7730052000000002,0.001686417670685415
13,0.0947395,0.0004154379014967213,0.8026369000000001,0.003519893562311235,0.0886557,0.00018343175842803154,0.7510958000000001,0.0015548334830456916
14,0.09310529999999999,0.00041361166569621867,0.7887949000000001,0.0035044543498239517,0.0864345,0.00015087759939765702,0.7322784,0.0012776068409334743
15,0.0917634,0.00039199290809911275,0.7774236000000001,0.003320543877138217,0.084512,0.00016855088252512799,0.7159916,0.0014280068067064513
16,0.09066500000000001,0.0003928872611831553,0.7681198,0.0033272503602824904,0.08288980000000001,0.00013641099662417116,0.7022472000000001,0.0011564794680408263
17,0.0897622,0.0003869635124918108,0.7604706999999999,0.0032774112665333813,0.08152259999999999,0.00015745678772285357,0.6906631000000001,0.0013340666737460935
18,0.0890339,0.00037564756088653297,0.7543015000000001,0.003182291572122185,0.0803541,0.00018731975336306627,0.6807652,0.0015860338457926776
19,0.0884372,0.000365123485960571,0.7492452000000001,0.003093484921573076,0.0793294,0.00022395008372403047,0.672084,0.0018982956566351886
20,0.0879458,0.0003537148003688867,0.7450806999999999,0.0029966813327412735,0.0784484,0.00020891060289032786,0.664619,0.0017701313510584584
21,0.087556,0.0003376566303213972,0.7417803000000001,0.002862011951407601,0.07760900000000001,0.00023822426408743257,0.6575075000000001,0.0020176702034772746
22,0.08724119999999999,0.00033535795800905094,0.7391131,0.002841340122195852,0.07692800000000001,0.0002392413007822836,0.6517392999999999,0.0020267333347038967
23,0.08698519999999998,0.0003397048130362591,0.7369437999999999,0.0028774033363433826,0.0763244,0.0002460265026374186,0.6466237,0.00208436220700722
24,0.08678509999999999,0.0003412756803524106,0.7352495,0.002891598251832372,0.0758138,0.00022757363643445035,0.6422977000000001,0.001928428222672555
25,0.0866276,0.0003402138151221953,0.7339137,0.002883970320582372,0.07532330000000001,0.00024074428342122715,0.6381426,0.0020390047179935835
26,0.0865087,0.00033537801060892346,0.7329076000000001,0.0028423379179823034,0.07481070000000001,0.0002821372183884983,0.6338005,0.0023896716615468315
27,0.0864054,0.00033504095272070673,0.7320318,0.0028390178512999946,0.0744099,0.0003091185694842686,0.6304065000000001,0.0026183913859467375
28,0.0863356,0.00033586550879779434,0.7314401,0.0028458116750761735,0.0739861,0.0003233674226015941,0.6268136,0.002739675718036713
29,0.086284,0.0003379470372706355,0.7310006,0.002862251218883476,0.07356560000000001,0.0003512680457997855,0.6232527999999999,0.002976835662242719
30,0.08624230000000001,0.0003397772947093439,0.7306503,0.002878315307606154,0.07319859999999999,0.0003170700868893196,0.6201426000000001,0.0026856335639844995
31,0.08621209999999999,0.00033113001978075056,0.7303938,0.0028058571880977927,0.07280529999999999,0.00034268149935472126,0.6168119000000001,0.0029053238528604724
